Title,Address,State,Original
Labor Bulletin,"First National Bank Bldg., Public Square, Belleville",Illinois,"Labor Bulletin, First National Bank Bldg., Public Square, Belleville"
The American Teacher,"28 E. Jackson Blvd., Chicago",Illinois,"The American Teacher, 28 E. Jackson Blvd., Chicago"
Bags and Baggage,"3451 Michigan Ave., Chicago",Illinois,"Bags and Baggage, 3451 Michigan Ave., Chicago"
The Bakers & Confectioners Journal,"2719 N. Wilton Ave., Chicago Park Station, Chicago",Illinois,"The Bakers & Confectioners Journal, 2719 N. Wilton Ave., Chicago Park Station, Chicago"
The Butcher Workman,"160 N. LaSalle St., Chicago",Illinois,"The Butcher Workman, 160 N. LaSalle St., Chicago"
Chicago UE News (CIO),"166 W. Jackson Blvd., Rm. 803, Chicago",Illinois,"Chicago UE News (CIO), 166 W. Jackson Blvd., Rm. 803, Chicago"
Chicago Union Teacher,"509 S. Wabash Ave., Chicago",Illinois,"Chicago Union Teacher, 509 S. Wabash Ave., Chicago"
Educational Monthly News Review,"3451 Michigan Ave., Chicago",Illinois,"Educational Monthly News Review, 3451 Michigan Ave., Chicago"
Farm Equipment & Metal Workers News (UFEMW-CIO),"188 West Randolph St., Chicago",Illinois,"Farm Equipment & Metal Workers News (UFEMW-CIO), 188 West Randolph St., Chicago"
Federation News,"666 Lake Shore Drive, Chicago",Illinois,"Federation News, 666 Lake Shore Drive, Chicago"
The Illinois State Employee,"188 W. Randolph St., Suite 1402, Chicago",Illinois,"The Illinois State Employee, 188 W. Randolph St., Suite 1402, Chicago"
The Milk Distributor,"220 S. Ashland Blvd., Chicago",Illinois,"The Milk Distributor, 220 S. Ashland Blvd., Chicago"
Packinghouse Worker (PWOC-CIO),"205 W. Wacker Dr., Chicago",Illinois,"Packinghouse Worker (PWOC-CIO), 205 W. Wacker Dr., Chicago"
Railway Employees Journal,"901 Montrose Ave., Chicago",Illinois,"Railway Employees Journal, 901 Montrose Ave., Chicago"
Signalmen's Journal,"4849 N. Western Ave., Chicago",Illinois,"Signalmen's Journal, 4849 N. Western Ave., Chicago"
Train Dispatcher,"10 E. Huron St., Chicago",Illinois,"Train Dispatcher, 10 E. Huron St., Chicago"
Transport Workers Edition CIO News,"3451 So. Mich. Ave., Chicago",Illinois,"Transport Workers Edition CIO News, 3451 So. Mich. Ave., Chicago"
The Union Leader,"1608 W. Van Buren St., Chicago",Illinois,"The Union Leader, 1608 W. Van Buren St., Chicago"
Union (IUMMSW-CIO),"222 W. Adams St., Chicago",Illinois,"Union (IUMMSW-CIO), 222 W. Adams St., Chicago"
Voice of the Union,"Cement, Lime, Gypsum & Allied Worker, 549 W. Randolph St., Chicago Weekly News Letter, 666 Lake Shore Drive, Chicago",Illinois,"Voice of the Union, Cement, Lime, Gypsum & Allied Worker, 549 W. Randolph St., Chicago Weekly News Letter, 666 Lake Shore Drive, Chicago"
